MIC Code,MIC Description
SSME,FIRST NORTH SWEDEN - SME GROWTH MARKET
TREU,TRADEWEB EUROPE LIMITED
TRQA,TURQUOISE LIT AUCTIONS
TRQM,TURQUOISE PLATO
TRQX,TURQUOISE
TRSI,TOWER RESEARCH CAPITAL EUROPE LTD
UBSA,UBS ATS
UBSY,UBS AG LONDON BRANCH - SYSTEMATIC INTERNALISER
VCRS,VIRTU MATCHIT - CONDITIONAL ROOM
VERT,VERTICAL
VFMI,VIRTU MATCHIT - MAIN CROSSING SESSION
VFSI,VIRTU FINANCIAL IRELAND LIMITED - SYSTEMATIC INTERNALISER
VIRT,VIRTU FINANCIAL BD
WINS,WINTERFLOOD SECURITIES LIMITED - ELECTRONIC PLATFORM
WINX,WINTERFLOOD SECURITIES LIMITED - MANUAL TRADING
XAMS,EURONEXT - EURONEXT AMSTERDAM
XASE,NYSE MKT LLC
XASX,ASX - ALL MARKETS
XATH,ATHENS EXCHANGE S.A. CASH MARKET
XATS,ALPHA EXCHANGE
XBKK,STOCK EXCHANGE OF THAILAND
XBOG,BOLSA DE VALORES DE COLOMBIA
XBOM,BSE LTD
XBOS,NASDAQ OMX BX
XBOT,BOTSWANA STOCK EXCHANGE
XBRU,EURONEXT - EURONEXT BRUSSELS
XBUD,BUDAPEST STOCK EXCHANGE
XCAI,EGYPTIAN EXCHANGE
XCAS,CASABLANCA STOCK EXCHANGE
XCHI,"NYSE CHICAGO, INC."
XCIS,"NYSE NATIONAL, INC."
XCNQ,CANADIAN NATIONAL STOCK EXCHANGE
XCSE,NASDAQ COPENHAGEN A/S
XCX2,CX2
XCXD,NASDAQ CXD
XDHA,DHAKA STOCK EXCHANGE LTD
XDUB,IRISH STOCK EXCHANGE - ALL MARKET
XEQT,BOERSE BERLIN EQUIDUCT TRADING
XESM,EURONEXT GROWTH DUBLIN
XETA,XETRA - REGULIERTER MARKT
XETR,XETRA
XFRA,DEUTSCHE BOERSE AG
XHEL,NASDAQ HELSINKI LTD
XHKG,HONG KONG EXCHANGES AND CLEARING LTD
XICX,INSTINET CANADA CROSS
XIDX,INDONESIA STOCK EXCHANGE
XIST,BORSA ISTANBUL
XJSE,JOHANNESBURG STOCK EXCHANGE
XKAR,THE PAKISTAN STOCK EXCHANGE LIMITED
XKLS,BURSA MALAYSIA
XKOS,KOREA EXCHANGE (KOSDAQ)
XKRX,KOREA EXCHANGE (STOCK MARKET)
XLIM,BOLSA DE VALORES DE LIMA
XLIS,EURONEXT - EURONEXT LISBON
XLOM,LONDON STOCK EXCHANGE - MTF
XLON,LONDON STOCK EXCHANGE
XMAD,BOLSA DE MADRID
XMAU,STOCK EXCHANGE OF MAURITIUS LTD
XMEX,BOLSA MEXICANA DE VALORES (MEXICAN STOCK EXCHANGE)
XMIL,BORSA ITALIANA S.P.A.
XMSM,EURONEXT DUBLIN
XNAI,NAIROBI STOCK EXCHANGE
XNAS,NASDAQ - ALL MARKETS
XNGS,NASDAQ/NGS (GLOBAL SELECT MARKET)
XNMS,NASDAQ/NMS (GLOBAL MARKET)
