Client type,Interaction,Class of Instrument,Period start,Period end,Notification if <1 average trade per business day in the previous year
Professional,Placement/transmission,Equities - Shares & Depositary Receipts (T34),1/1/2019,12/31/2019,N
Top five investment firms ranked in terms of trading volumes (descending order),Proportion of volume traded as a percentage of total in that class,Proportion of orders executed as percentage of total in that class,Percentage of passive orders,Percentage of aggressive orders,Percentage of directed orders
VIRTU ITG EUROPE LIMITED|213800EEC95PRUCEUP63,29.53,46.87,47.06,23.42,1.65
UBS AG|BFM8T61CT2L1QCEMIK50,12.65,13.03,39.88,40.57,1.74
HSBC BANK PLC|MP6I5ZYZBEU3UXPYFY54,11.96,1.9,28.59,10.26,0.04
JP MORGAN SECURITIES|K6Q0W1PS1L1O4IQL9C32,6.69,9.06,45.59,43.18,0.81
LIQUIDNET|213800ZIRB79BE5XQM68,4.93,3.32,53.6,33.96,0
