Client type,Interaction,Class of Instrument,Period start,Period end,Notification if <1 average trade per business day in the previous year
Professional,Placement/transmission,Equities - Shares & Depositary Receipts (T34),01/01/2018,31/12/2018,N
Top five investment firms ranked in terms of trading volumes (descending order),Proportion of volume traded as a percentage of total in that class,Proportion of orders executed as percentage of total in that class,Percentage of passive orders,Percentage of aggressive orders,Percentage of directed orders
ITG EUROPE LIMITED |213800EEC95PRUCEUP63,36.3,57.26,56.02,28.12,0.97
UBS AG|BFM8T61CT2L1QCEMIK50,8.4,6.54,47.32,27.6,7.02
HSBC BANK PLC|MP6I5ZYZBEU3UXPYFY54,7.95,0.75,45.06,14.95,0
CREDIT SUISSE SECURITIES|DL6FFRRLF74S01HE2M14,4.08,2.73,41.84,10.56,0
INSTINET|213800MXAKR2LA1VBM44,3.57,2.64,43.03,48.92,0
