Client type,Interaction,Class of Instrument,Period start,Period end,Notification if <1 average trade per business day in the previous year
Professional,Placement/transmission,Equities - Shares & Depositary Receipts (T56),1/1/2019,12/31/2019,N
Top five investment firms ranked in terms of trading volumes (descending order),Proportion of volume traded as a percentage of total in that class,Proportion of orders executed as percentage of total in that class,Percentage of passive orders,Percentage of aggressive orders,Percentage of directed orders
VIRTU ITG EUROPE LIMITED|213800EEC95PRUCEUP63,27.08,39.37,43.93,20.27,0.44
UBS AG|BFM8T61CT2L1QCEMIK50,16.43,11.58,46.6,29.23,0
GOLDMAN SACHS INTERNATIONAL|W22LROWP2IHZNBB6K528,14.75,12.58,59.8,29.65,0
LIQUIDNET|213800ZIRB79BE5XQM68,10.75,8.41,55.19,34.66,0
JP MORGAN SECURITIES|K6Q0W1PS1L1O4IQL9C32,8.49,8.17,55.71,30.14,0
